,results
582,"Sentence[63]: ""cost obligations  risks   Microsoft Word and Excel experience/proficiency  accounting practices and contract management experience Job CorporatePrimary Location TX DallasHospital/Facility Tenet HeadquartersJob Type Full timeShift Type DaysJob Number 1705040611JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Microsoft""/In-SK, ""Word""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""contract""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
583,"Sentence[65]: ""Job Description   Contract Administrator   Frisco  1705040611  Contract Administrator   FriscoDescription IN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS The Tenet Legal Operations Contract Administrator position will be responsible for creating and submitting ecats packages on behalf of designated hospital facilities"" → [""TESTING""/In-SK]"
584,"Sentence[63]: ""cost obligations  risks   Microsoft Word and Excel experience/proficiency  accounting practices and contract management experience Job CorporatePrimary Location TX FriscoHospital/Facility Tenet HeadquartersJob Type Full timeShift Type DaysJob Number 1705040808JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Microsoft""/In-SK, ""Word""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""contract""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
585,"Sentence[65]: ""Job Description   Contract Administrator   Frisco  1705040808  Contract Administrator   FriscoDescription IN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS The Tenet Legal Operations Contract Administrator position will be responsible for creating and submitting ecats packages on behalf of designated hospital facilities"" → [""TESTING""/In-SK]"
586,"Sentence[61]: ""Job Description   Credit Resolution Representative   Tacoma  Washington  1705033974  Credit Resolution Representative   Tacoma  WashingtonDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 600 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""Credit""/In-SK, ""Credit""/In-SK, ""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
587,"Sentence[131]: ""Through our revenue cycle management  patient communications  and value based care solutions  we empower healthcare decision makers hospitals  health systems  physicians  self insured employers  and payers to better connect every point of care and wellness management  Are you ready to be part of our solutions  Welcome to the company that gives you the resources and incentives to redefine healthcare services  with a competitive benefits package and leadership to take your career to the next step Conifer Health Solutions is currently hiring for a Credit Resolution RepresentativeJOB SUMMARY Responsibilities include the compliant review and analysis of credit balance accounts to determine cause of credit balance and resolution of same  In addition  the Credit Resolution representative is responsible for thorough and accurate follow up and communication with facilities  management  Insurance companies and patients"" → [""management""/In-SK, ""healthcare""/In-SK, ""management""/In-SK, ""healthcare""/In-SK, ""leadership""/In-SK, ""hiring""/In-SK, ""Credit""/In-SK, ""analysis""/In-SK, ""credit""/In-SK, ""credit""/In-SK, ""Credit""/In-SK, ""communication""/In-SK, ""management""/In-SK, ""Insurance""/In-SK]"
588,"Sentence[239]: ""Other duties may be assigned Performs refund and credit analysis  audit and reimbursement functions for all patient credit balance accountsResponsible for the review  preparation and submission of the Credit Balances Quarterly Report Responsible for follow up on credit balance accountsResponds to patient inquiries and Insurance phone calls regarding account balances and refunds Handle correspondence received from payors requesting refundsInteracts with facilities to resolve accountsOther duties as assigned by ManagementQualifications KNOWLEDGE  SKILLS  ABILITIESTo perform this job successfully  an individual must be able to perform each essential duty satisfactorily  The requirements listed below are representative of the knowledge  skill and/or ability required  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Intermediate understanding of Hospital Billing requirements  Universal Billing form Intermediate understanding of Medicare regulations preferredIntermediate understanding of Microsoft Office Intermediate to ability to handle large volume with excellent qualityIntermediate oral and written skills  requiredEDUCATION / EXPERIENCEInclude minimum education  technical training  and/or experience required to perform the job HS Diploma or equivalent  required AA degree  preferred3 5 years in a Hospital Patient Financial Services department PHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Ability to sit and work at a computer terminal for long periods of time"" → [""credit""/In-SK, ""analysis""/In-SK, ""credit""/In-SK, ""Credit""/In-SK, ""credit""/In-SK, ""Insurance""/In-SK, ""SKILLS""/In-SK, ""Billing""/In-SK, ""Billing""/In-SK, ""Microsoft""/In-SK, ""Office""/In-SK, ""skills""/In-SK, ""education""/In-SK, ""training""/In-SK]"
589,"Sentence[102]: ""WORK ENVIRONMENT The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Cheerful  pleasant  well ventilated  call center environment with multiple work stations in close proximity OTHERNo other requirementsJob BillingPrimary Location Washington TacomaHospital/Facility Conifer   Tacoma  WAJob Type Full timeShift Type DaysJob Number 1705033974JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
590,"Sentence[49]: ""Job Description   RN Adult Psych BH4 PT 24 hours Days eow and holidays  1705040973  RN Adult Psych BH4 PT 24 hours Days eow and holidaysDescription Under general supervision of the unit s nursing management the Clinical RN performs duties to ensure quality patient care through the health care continuum"" → [""management""/In-SK]"
591,"Sentence[61]: ""We are an Equal Opportunity Employer and value diversity in our workplace js7486mwwJob Psychiatric/BehavioralPrimary Location MA NatickHospital/Facility MetroWest Medical CenterJob Type PT1Shift Type DaysJob Number 1705040973JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
592,"Sentence[63]: ""cost obligations  risks   Microsoft Word and Excel experience/proficiency  accounting practices and contract management experience Job CorporatePrimary Location TX DallasHospital/Facility Tenet HeadquartersJob Type Full timeShift Type DaysJob Number 1705040616JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Microsoft""/In-SK, ""Word""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""contract""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
593,"Sentence[65]: ""Job Description   Contract Administrator   Frisco  1705040616  Contract Administrator   FriscoDescription IN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS The Tenet Legal Operations Contract Administrator position will be responsible for creating and submitting ecats packages on behalf of designated hospital facilities"" → [""TESTING""/In-SK]"
594,"Sentence[65]: ""Job Description   Hospital Billing Specialist   Per Diem   Tacoma  Washington  1605057092  Hospital Billing Specialist   Per Diem   Tacoma  WashingtonDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 600 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""Billing""/In-SK, ""Billing""/In-SK, ""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
